aearep,key,value
aearep-1937,docount,15
aearep-1937,adocount,87
aearep-1937,adofile,_gvar.ado
aearep-1937,adofile,_gelap.ado
aearep-1937,adofile,_gwtfreq.ado
aearep-1937,adofile,_gewma.ado
aearep-1937,adofile,_gbom.ado
aearep-1937,adofile,_gcorr.ado
aearep-1937,adofile,_gtod.ado
aearep-1937,adofile,_gntos.ado
aearep-1937,adofile,_gseconds.ado
aearep-1937,adofile,_gfoy.ado
aearep-1937,adofile,_ghmmss.ado
aearep-1937,adofile,_gmixnorm.ado
aearep-1937,adofile,_ghms.ado
aearep-1937,adofile,_ghmm.ado
aearep-1937,adofile,_grndint.ado
aearep-1937,adofile,_grownvals.ado
aearep-1937,adofile,_gnss.ado
aearep-1937,adofile,_gmlabvpos.ado
aearep-1937,adofile,_gbase.ado
aearep-1937,adofile,_giso3166.ado
aearep-1937,adofile,_gd2.ado
aearep-1937,adofile,_gminutes.ado
aearep-1937,adofile,_gtotal0.ado
aearep-1937,adofile,_grall.ado
aearep-1937,adofile,_gnoccur.ado
aearep-1937,adofile,_gilast.ado
aearep-1937,adofile,_gegroup.ado
aearep-1937,adofile,_growmedian.ado
aearep-1937,adofile,_ggmean.ado
aearep-1937,adofile,_gston.ado
aearep-1937,adofile,_gtruncdig.ado
aearep-1937,adofile,_gfirst.ado
aearep-1937,adofile,_gdayofyear.ado
aearep-1937,adofile,_geomd.ado
aearep-1937,adofile,_gdecimal.ado
aearep-1937,adofile,_gwordof.ado
aearep-1937,adofile,_growsvals.ado
aearep-1937,adofile,_geom.ado
aearep-1937,adofile,_gbomd.ado
aearep-1937,adofile,_gincss.ado
aearep-1937,adofile,_gsieve.ado
aearep-1937,adofile,_gsemean.ado
aearep-1937,adofile,_gaxis.ado
aearep-1937,adofile,_gridit.ado
aearep-1937,adofile,_gadjl.ado
aearep-1937,adofile,_gelap2.ado
aearep-1937,adofile,_gfilter.ado
aearep-1937,adofile,_goutside.ado
aearep-1937,adofile,_grcount.ado
aearep-1937,adofile,_ghmean.ado
aearep-1937,adofile,_gnwords.ado
aearep-1937,adofile,_gifirst.ado
aearep-1937,adofile,_glastnm.ado
aearep-1937,adofile,_gmsub.ado
aearep-1937,adofile,_grndsub.ado
aearep-1937,adofile,_grecord.ado
aearep-1937,adofile,_gwpctile.ado
aearep-1937,adofile,_gnmiss.ado
aearep-1937,adofile,_gdhms.ado
aearep-1937,adofile,_gsumoth.ado
aearep-1937,adofile,_gncyear.ado
aearep-1937,adofile,_grany.ado
aearep-1937,adofile,_gnvals.ado
aearep-1937,adofile,_grepeat.ado
aearep-1937,adofile,_ggroup2.ado
aearep-1937,adofile,_grsum2.ado
aearep-1937,adofile,_gclsst.ado
aearep-1937,adofile,_gxtile.ado
aearep-1937,adofile,_gdensity.ado
aearep-1937,adofile,_gadju.ado
aearep-1937,adofile,labmask.ado
aearep-1937,adofile,linepalette.ado
aearep-1937,adofile,spmap_line.ado
aearep-1937,adofile,spmap_color.ado
aearep-1937,adofile,symbolpalette.ado
aearep-1937,adofile,spmap_point.ado
aearep-1937,adofile,seqvar.ado
aearep-1937,adofile,spmap_arrow.ado
aearep-1937,adofile,spmap_polygon.ado
aearep-1937,adofile,spmap.ado
aearep-1937,adofile,spmap_psl.ado
aearep-1937,adofile,spmap_label.ado
aearep-1937,adofile,spmap_diagram.ado
aearep-1937,adofile,spmap_scalebar.ado
aearep-1937,adofile,spmap_examples.ado
aearep-1937,adofile,colorpalette.ado
aearep-1937,adofile,filelist.ado
